User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10)
U001,44,Male,3.1,7,6,2,5,Facebook,10
U002,30,Other,5.1,7,8,5,3,LinkedIn,10
U003,23,Other,7.4,6,7,1,3,YouTube,6
U004,36,Female,5.7,7,8,1,1,TikTok,8
U005,34,Female,7,4,7,5,1,X (Twitter),8
U006,38,Male,6.6,5,7,4,3,LinkedIn,8
U007,26,Female,7.8,4,8,2,0,TikTok,7
U008,26,Female,7.4,5,6,1,4,Instagram,7
U009,39,Male,4.7,7,7,6,1,YouTube,9
U010,39,Female,6.6,6,8,0,2,Facebook,7
U011,18,Female,2.8,7,6,2,0,Instagram,7
U012,37,Other,5.4,5,7,3,2,Instagram,9
U013,17,Female,7,7,10,7,1,YouTube,8
U014,39,Female,5.7,5,7,4,0,Facebook,8
U015,45,Male,6.3,7,7,4,3,X (Twitter),9
U016,17,Female,5.1,7,6,2,5,LinkedIn,10
U017,36,Female,7.5,5,8,4,4,Facebook,7
U018,48,Male,5.4,6,4,3,4,TikTok,10
U019,27,Male,4.7,6,6,0,2,Instagram,9
U020,37,Male,7.1,6,6,5,4,TikTok,10
U021,40,Female,3,8,5,5,4,X (Twitter),10
U022,42,Other,6.4,7,6,5,3,TikTok,10
U023,43,Male,3.6,8,5,3,1,Facebook,9
U024,31,Female,7.8,5,8,1,2,TikTok,7
U025,30,Male,5,6,6,0,5,X (Twitter),8
U026,18,Other,5.7,6,7,3,2,X (Twitter),8
U027,22,Female,6.2,5,8,5,0,X (Twitter),6
U028,36,Female,2,8,4,5,0,Facebook,10
U029,24,Male,4.3,6,6,5,2,X (Twitter),10
U030,33,Male,7.4,6,10,3,4,Instagram,8
U031,19,Male,7.1,5,8,5,2,X (Twitter),9
U032,40,Male,6,6,7,5,4,TikTok,7
U033,29,Female,3.1,8,4,2,2,LinkedIn,10
U034,24,Female,6.6,6,7,4,0,TikTok,7
U035,41,Other,6.8,8,7,2,2,LinkedIn,9
U036,17,Other,5.6,6,7,4,3,TikTok,7
U037,35,Female,7.7,4,8,0,3,Facebook,8
U038,43,Female,4.3,8,4,1,1,TikTok,10
U039,22,Other,4.6,4,6,5,2,Facebook,9
U040,23,Female,1,9,5,5,7,Facebook,10
U041,29,Male,7.2,5,7,4,1,X (Twitter),10
U042,32,Male,6.1,5,6,3,3,Instagram,7
U043,19,Male,2.5,9,3,0,0,LinkedIn,10
U044,17,Other,2.3,9,3,3,4,X (Twitter),10
U045,21,Female,3.9,6,6,4,1,X (Twitter),8
